Year_Location,Year,LocationAbbr,LocationDesc,Data_Value,Age,State_Tax
2006IN,2006,IN,Indiana,24,45 to 64 Years,0.555
2010IN,2010,IN,Indiana,21.2,18 to 24 Years,0.995
2010IN,2010,IN,Indiana,22.6,45 to 64 Years,0.995
2010IN,2010,IN,Indiana,26.1,25 to 44 Years,0.995
2010IN,2010,IN,Indiana,8,65 Years and Older,0.995
1997IN,1997,IN,Indiana,10.4,65 Years and Older,0.155
1997IN,1997,IN,Indiana,24.3,45 to 64 Years,0.155
1997IN,1997,IN,Indiana,31.4,25 to 44 Years,0.155
1997IN,1997,IN,Indiana,35.7,18 to 24 Years,0.155
1996IN,1996,IN,Indiana,36.4,25 to 44 Years,0.155
1996IN,1996,IN,Indiana,31.7,18 to 24 Years,0.155
1996IN,1996,IN,Indiana,28.1,45 to 64 Years,0.155
1999IN,1999,IN,Indiana,32.5,25 to 44 Years,0.155
2005IN,2005,IN,Indiana,10.2,65 Years and Older,0.555
2005IN,2005,IN,Indiana,26.1,45 to 64 Years,0.555
2005IN,2005,IN,Indiana,31.8,25 to 44 Years,0.555
2005IN,2005,IN,Indiana,39,18 to 24 Years,0.555
1998IN,1998,IN,Indiana,11.2,65 Years and Older,0.155
1998IN,1998,IN,Indiana,24.6,45 to 64 Years,0.155
1998IN,1998,IN,Indiana,34.3,18 to 24 Years,0.155
1998IN,1998,IN,Indiana,30.8,25 to 44 Years,0.155
2001IN,2001,IN,Indiana,35.8,18 to 24 Years,0.155
2001IN,2001,IN,Indiana,24.7,45 to 64 Years,0.155
2001IN,2001,IN,Indiana,11.1,65 Years and Older,0.155
2001IN,2001,IN,Indiana,34.5,25 to 44 Years,0.155
2004IN,2004,IN,Indiana,30.3,25 to 44 Years,0.555
2004IN,2004,IN,Indiana,28.2,18 to 24 Years,0.555
2004IN,2004,IN,Indiana,24.6,45 to 64 Years,0.555
2004IN,2004,IN,Indiana,10.8,65 Years and Older,0.555
1996IN,1996,IN,Indiana,8.8,65 Years and Older,0.155
2009IN,2009,IN,Indiana,9.3,65 Years and Older,0.995
2009IN,2009,IN,Indiana,29.1,25 to 44 Years,0.995
2009IN,2009,IN,Indiana,25.6,18 to 24 Years,0.995
2009IN,2009,IN,Indiana,23,45 to 64 Years,0.995
2003IN,2003,IN,Indiana,32.2,25 to 44 Years,0.555
2003IN,2003,IN,Indiana,32.1,18 to 24 Years,0.555
2003IN,2003,IN,Indiana,24.7,45 to 64 Years,0.555
2003IN,2003,IN,Indiana,10.6,65 Years and Older,0.555
2002IN,2002,IN,Indiana,11.5,65 Years and Older,0.555
2002IN,2002,IN,Indiana,26.2,45 to 64 Years,0.555
2002IN,2002,IN,Indiana,37.6,18 to 24 Years,0.555
2003IA,2003,IA,Iowa,7.7,65 Years and Older,0.36
2003IA,2003,IA,Iowa,36,18 to 24 Years,0.36
2003IA,2003,IA,Iowa,24.8,25 to 44 Years,0.36
2003IA,2003,IA,Iowa,21.1,45 to 64 Years,0.36
1998IA,1998,IA,Iowa,29.8,25 to 44 Years,0.36
2000IA,2000,IA,Iowa,27.3,25 to 44 Years,0.36
2000IA,2000,IA,Iowa,7.6,65 Years and Older,0.36
2002IA,2002,IA,Iowa,23.6,45 to 64 Years,0.36
2002IA,2002,IA,Iowa,28,25 to 44 Years,0.36
2002IA,2002,IA,Iowa,32.3,18 to 24 Years,0.36
1998IA,1998,IA,Iowa,8.5,65 Years and Older,0.36
1998IA,1998,IA,Iowa,23,45 to 64 Years,0.36
2005IA,2005,IA,Iowa,22.3,45 to 64 Years,0.36
2005IA,2005,IA,Iowa,23,25 to 44 Years,0.36
2005IA,2005,IA,Iowa,25.9,18 to 24 Years,0.36
2005IA,2005,IA,Iowa,9.2,65 Years and Older,0.36
1998IA,1998,IA,Iowa,30.2,18 to 24 Years,0.36
2008IA,2008,IA,Iowa,7.7,65 Years and Older,1.36
2008IA,2008,IA,Iowa,24.3,18 to 24 Years,1.36
2008IA,2008,IA,Iowa,22.2,25 to 44 Years,1.36
2008IA,2008,IA,Iowa,19.6,45 to 64 Years,1.36
2010IA,2010,IA,Iowa,15.2,18 to 24 Years,1.36
2010IA,2010,IA,Iowa,18.7,25 to 44 Years,1.36
2010IA,2010,IA,Iowa,19,45 to 64 Years,1.36
2010IA,2010,IA,Iowa,7.3,65 Years and Older,1.36
2006IA,2006,IA,Iowa,8.6,65 Years and Older,0.36
2006IA,2006,IA,Iowa,27.8,18 to 24 Years,0.36
2006IA,2006,IA,Iowa,25.4,25 to 44 Years,0.36
2006IA,2006,IA,Iowa,22.5,45 to 64 Years,0.36
2009IA,2009,IA,Iowa,18.6,45 to 64 Years,1.36
1996IA,1996,IA,Iowa,28.2,18 to 24 Years,0.36
1996IA,1996,IA,Iowa,29.7,25 to 44 Years,0.36
1996IA,1996,IA,Iowa,23.5,45 to 64 Years,0.36
1996IA,1996,IA,Iowa,10.2,65 Years and Older,0.36
1999IA,1999,IA,Iowa,8,65 Years and Older,0.36
1999IA,1999,IA,Iowa,40.8,18 to 24 Years,0.36
2000IA,2000,IA,Iowa,38.9,18 to 24 Years,0.36
1997IA,1997,IA,Iowa,8.2,65 Years and Older,0.36
1997IA,1997,IA,Iowa,30.4,18 to 24 Years,0.36
1997IA,1997,IA,Iowa,28.3,25 to 44 Years,0.36
1997IA,1997,IA,Iowa,24.3,45 to 64 Years,0.36
2002IA,2002,IA,Iowa,7.1,65 Years and Older,0.36
1999IA,1999,IA,Iowa,22.6,45 to 64 Years,0.36
1999IA,1999,IA,Iowa,27,25 to 44 Years,0.36
2007IA,2007,IA,Iowa,7.5,65 Years and Older,1.36
2007IA,2007,IA,Iowa,26.6,18 to 24 Years,1.36
2007IA,2007,IA,Iowa,24.1,25 to 44 Years,1.36
2007IA,2007,IA,Iowa,19.9,45 to 64 Years,1.36
2009IA,2009,IA,Iowa,20.2,25 to 44 Years,1.36
2009IA,2009,IA,Iowa,22.7,18 to 24 Years,1.36
2009IA,2009,IA,Iowa,5.9,65 Years and Older,1.36
2001IA,2001,IA,Iowa,8.6,65 Years and Older,0.36
2001IA,2001,IA,Iowa,30.8,18 to 24 Years,0.36
2001IA,2001,IA,Iowa,26.8,25 to 44 Years,0.36
2001IA,2001,IA,Iowa,22.3,45 to 64 Years,0.36
2004IA,2004,IA,Iowa,19.8,45 to 64 Years,0.36
2000IA,2000,IA,Iowa,22.4,45 to 64 Years,0.36
2004IA,2004,IA,Iowa,26.3,25 to 44 Years,0.36
2004IA,2004,IA,Iowa,26.3,18 to 24 Years,0.36
2004IA,2004,IA,Iowa,8.6,65 Years and Older,0.36
2001KS,2001,KS,Kansas,10,65 Years and Older,0.24
2001KS,2001,KS,Kansas,25.9,18 to 24 Years,0.24
2001KS,2001,KS,Kansas,25.2,25 to 44 Years,0.24
2001KS,2001,KS,Kansas,24.3,45 to 64 Years,0.24
2007KS,2007,KS,Kansas,18.7,45 to 64 Years,0.79
2007KS,2007,KS,Kansas,19.8,25 to 44 Years,0.79
2007KS,2007,KS,Kansas,21.8,18 to 24 Years,0.79
2007KS,2007,KS,Kansas,9.4,65 Years and Older,0.79
2004KS,2004,KS,Kansas,26.4,18 to 24 Years,0.79
1997KS,1997,KS,Kansas,28.7,18 to 24 Years,0.24
2000KS,2000,KS,Kansas,25.5,18 to 24 Years,0.24
1997KS,1997,KS,Kansas,25,25 to 44 Years,0.24
1997KS,1997,KS,Kansas,24.2,45 to 64 Years,0.24
1997KS,1997,KS,Kansas,11.9,65 Years and Older,0.24
2004KS,2004,KS,Kansas,21.9,25 to 44 Years,0.79
2003KS,2003,KS,Kansas,22,45 to 64 Years,0.79
2003KS,2003,KS,Kansas,23.3,25 to 44 Years,0.79
2003KS,2003,KS,Kansas,24.8,18 to 24 Years,0.79
2003KS,2003,KS,Kansas,8.3,65 Years and Older,0.79
2005KS,2005,KS,Kansas,5.9,65 Years and Older,0.79
2005KS,2005,KS,Kansas,23.1,18 to 24 Years,0.79
2005KS,2005,KS,Kansas,21.2,25 to 44 Years,0.79
2005KS,2005,KS,Kansas,18.1,45 to 64 Years,0.79
1999KS,1999,KS,Kansas,10.3,65 Years and Older,0.24
1999KS,1999,KS,Kansas,20.6,45 to 64 Years,0.24
1999KS,1999,KS,Kansas,24.7,18 to 24 Years,0.24
1999KS,1999,KS,Kansas,25.6,25 to 44 Years,0.24
2009KS,2009,KS,Kansas,7.7,65 Years and Older,0.79
2009KS,2009,KS,Kansas,22,18 to 24 Years,0.79
2009KS,2009,KS,Kansas,19.9,25 to 44 Years,0.79
2009KS,2009,KS,Kansas,19.3,45 to 64 Years,0.79
2008KS,2008,KS,Kansas,8.2,65 Years and Older,0.79
2008KS,2008,KS,Kansas,21.9,25 to 44 Years,0.79
2008KS,2008,KS,Kansas,19.7,18 to 24 Years,0.79
1998KS,1998,KS,Kansas,23.5,45 to 64 Years,0.24
1998KS,1998,KS,Kansas,24.7,25 to 44 Years,0.24
1998KS,1998,KS,Kansas,25.8,18 to 24 Years,0.24
1998KS,1998,KS,Kansas,7.8,65 Years and Older,0.24
2008KS,2008,KS,Kansas,18.2,45 to 64 Years,0.79
2000KS,2000,KS,Kansas,11.8,65 Years and Older,0.24
2000KS,2000,KS,Kansas,20.8,45 to 64 Years,0.24
2000KS,2000,KS,Kansas,24.4,25 to 44 Years,0.24
1996KS,1996,KS,Kansas,25.2,45 to 64 Years,0.24
1996KS,1996,KS,Kansas,25.1,25 to 44 Years,0.24
1996KS,1996,KS,Kansas,23.9,18 to 24 Years,0.24
1996KS,1996,KS,Kansas,10.2,65 Years and Older,0.24
2010KS,2010,KS,Kansas,7.9,65 Years and Older,0.79
2010KS,2010,KS,Kansas,18.4,45 to 64 Years,0.79
2010KS,2010,KS,Kansas,18.4,25 to 44 Years,0.79
2010KS,2010,KS,Kansas,23,18 to 24 Years,0.79
2002KS,2002,KS,Kansas,10.6,65 Years and Older,0.7
2004KS,2004,KS,Kansas,20.2,45 to 64 Years,0.79
2004KS,2004,KS,Kansas,9.4,65 Years and Older,0.79
2006KS,2006,KS,Kansas,7.5,65 Years and Older,0.79
2006KS,2006,KS,Kansas,26.1,18 to 24 Years,0.79
2006KS,2006,KS,Kansas,23.8,45 to 64 Years,0.79
2006KS,2006,KS,Kansas,20.2,25 to 44 Years,0.79
2002KS,2002,KS,Kansas,23.2,25 to 44 Years,0.7
2002KS,2002,KS,Kansas,23.5,45 to 64 Years,0.7
2002KS,2002,KS,Kansas,30.1,18 to 24 Years,0.7
2007KY,2007,KY,Kentucky,38.1,18 to 24 Years,0.3
2003KY,2003,KY,Kentucky,38.9,18 to 24 Years,0.03
2003KY,2003,KY,Kentucky,36.8,25 to 44 Years,0.03
2003KY,2003,KY,Kentucky,29.3,45 to 64 Years,0.03
2003KY,2003,KY,Kentucky,14.4,65 Years and Older,0.03
2009KY,2009,KY,Kentucky,12,65 Years and Older,0.525
2009KY,2009,KY,Kentucky,23.8,45 to 64 Years,0.525
2009KY,2009,KY,Kentucky,31.3,25 to 44 Years,0.525
2009KY,2009,KY,Kentucky,35.6,18 to 24 Years,0.525
2006KY,2006,KY,Kentucky,10.7,65 Years and Older,0.3
2006KY,2006,KY,Kentucky,31.6,45 to 64 Years,0.3
2006KY,2006,KY,Kentucky,31.7,25 to 44 Years,0.3
2006KY,2006,KY,Kentucky,35.9,18 to 24 Years,0.3
2004KY,2004,KY,Kentucky,12.5,65 Years and Older,0.03
2002KY,2002,KY,Kentucky,39.2,18 to 24 Years,0.03
2002KY,2002,KY,Kentucky,37.4,25 to 44 Years,0.03
2002KY,2002,KY,Kentucky,31.9,45 to 64 Years,0.03
2002KY,2002,KY,Kentucky,16.9,65 Years and Older,0.03
1997KY,1997,KY,Kentucky,12.5,65 Years and Older,0.03
1997KY,1997,KY,Kentucky,31.5,45 to 64 Years,0.03
1997KY,1997,KY,Kentucky,37,25 to 44 Years,0.03
1997KY,1997,KY,Kentucky,35.5,18 to 24 Years,0.03
1999KY,1999,KY,Kentucky,35.8,25 to 44 Years,0.03
1999KY,1999,KY,Kentucky,35.1,18 to 24 Years,0.03
1999KY,1999,KY,Kentucky,29.4,45 to 64 Years,0.03
1999KY,1999,KY,Kentucky,13.6,65 Years and Older,0.03
2008KY,2008,KY,Kentucky,10.8,65 Years and Older,0.3
2008KY,2008,KY,Kentucky,25,45 to 64 Years,0.3
2008KY,2008,KY,Kentucky,30.2,25 to 44 Years,0.3
2008KY,2008,KY,Kentucky,31.7,18 to 24 Years,0.3
1996KY,1996,KY,Kentucky,36.9,25 to 44 Years,0.03
1996KY,1996,KY,Kentucky,32.7,45 to 64 Years,0.03
1996KY,1996,KY,Kentucky,31.6,18 to 24 Years,0.03
1996KY,1996,KY,Kentucky,17.7,65 Years and Older,0.03
2000KY,2000,KY,Kentucky,36.6,25 to 44 Years,0.03
2000KY,2000,KY,Kentucky,38.7,18 to 24 Years,0.03
2004KY,2004,KY,Kentucky,28.7,45 to 64 Years,0.03
2004KY,2004,KY,Kentucky,31.1,18 to 24 Years,0.03
2004KY,2004,KY,Kentucky,31.8,25 to 44 Years,0.03
2001KY,2001,KY,Kentucky,15,65 Years and Older,0.03
2001KY,2001,KY,Kentucky,29.7,45 to 64 Years,0.03
2001KY,2001,KY,Kentucky,36.5,25 to 44 Years,0.03
2001KY,2001,KY,Kentucky,38.5,18 to 24 Years,0.03
2010KY,2010,KY,Kentucky,10.7,65 Years and Older,0.6
2005KY,2005,KY,Kentucky,34.8,18 to 24 Years,0.3
2005KY,2005,KY,Kentucky,33.2,25 to 44 Years,0.3
2005KY,2005,KY,Kentucky,28.8,45 to 64 Years,0.3
2005KY,2005,KY,Kentucky,13.6,65 Years and Older,0.3
2010KY,2010,KY,Kentucky,30.1,25 to 44 Years,0.6
2010KY,2010,KY,Kentucky,26.5,18 to 24 Years,0.6
2010KY,2010,KY,Kentucky,26,45 to 64 Years,0.6
1998KY,1998,KY,Kentucky,29.6,45 to 64 Years,0.03
1998KY,1998,KY,Kentucky,36.8,25 to 44 Years,0.03
1998KY,1998,KY,Kentucky,16,65 Years and Older,0.03
1998KY,1998,KY,Kentucky,36.1,18 to 24 Years,0.03
2000KY,2000,KY,Kentucky,30.4,45 to 64 Years,0.03
2000KY,2000,KY,Kentucky,11.6,65 Years and Older,0.03
2007KY,2007,KY,Kentucky,12.4,65 Years and Older,0.3
2007KY,2007,KY,Kentucky,28.4,45 to 64 Years,0.3
2007KY,2007,KY,Kentucky,32.5,25 to 44 Years,0.3
2010LA,2010,LA,Louisiana,10.1,65 Years and Older,0.36
1999LA,1999,LA,Louisiana,22.2,45 to 64 Years,0.2
1996LA,1996,LA,Louisiana,30.4,25 to 44 Years,0.2
1996LA,1996,LA,Louisiana,28.3,18 to 24 Years,0.2
1996LA,1996,LA,Louisiana,12.2,65 Years and Older,0.2
1996LA,1996,LA,Louisiana,26,45 to 64 Years,0.2
2006LA,2006,LA,Louisiana,24.1,45 to 64 Years,0.36
2006LA,2006,LA,Louisiana,26.9,25 to 44 Years,0.36
2006LA,2006,LA,Louisiana,28.7,18 to 24 Years,0.36
2006LA,2006,LA,Louisiana,9.5,65 Years and Older,0.36
2002LA,2002,LA,Louisiana,28.9,18 to 24 Years,0.36
1997LA,1997,LA,Louisiana,27,18 to 24 Years,0.2
1997LA,1997,LA,Louisiana,27.1,45 to 64 Years,0.2
1997LA,1997,LA,Louisiana,28.4,25 to 44 Years,0.2
1997LA,1997,LA,Louisiana,8.8,65 Years and Older,0.2
2002LA,2002,LA,Louisiana,26.6,25 to 44 Years,0.36
2000LA,2000,LA,Louisiana,23.5,45 to 64 Years,0.24
2000LA,2000,LA,Louisiana,29.3,25 to 44 Years,0.24
2000LA,2000,LA,Louisiana,29.6,18 to 24 Years,0.24
2000LA,2000,LA,Louisiana,8,65 Years and Older,0.24
2002LA,2002,LA,Louisiana,24.8,45 to 64 Years,0.36
2002LA,2002,LA,Louisiana,11,65 Years and Older,0.36
2005LA,2005,LA,Louisiana,8.7,65 Years and Older,0.36
2005LA,2005,LA,Louisiana,27.5,25 to 44 Years,0.36
2005LA,2005,LA,Louisiana,25.5,18 to 24 Years,0.36
2005LA,2005,LA,Louisiana,22.2,45 to 64 Years,0.36
2008LA,2008,LA,Louisiana,25.3,25 to 44 Years,0.36
2008LA,2008,LA,Louisiana,20.4,45 to 64 Years,0.36
2008LA,2008,LA,Louisiana,19.7,18 to 24 Years,0.36
2008LA,2008,LA,Louisiana,11,65 Years and Older,0.36
2003LA,2003,LA,Louisiana,11,65 Years and Older,0.36
2003LA,2003,LA,Louisiana,25.6,45 to 64 Years,0.36
2003LA,2003,LA,Louisiana,31.2,18 to 24 Years,0.36
2003LA,2003,LA,Louisiana,32.2,25 to 44 Years,0.36
2007LA,2007,LA,Louisiana,24.2,45 to 64 Years,0.36
2007LA,2007,LA,Louisiana,25.5,25 to 44 Years,0.36
2007LA,2007,LA,Louisiana,26.1,18 to 24 Years,0.36
2007LA,2007,LA,Louisiana,9.9,65 Years and Older,0.36
1998LA,1998,LA,Louisiana,31,25 to 44 Years,0.2
1998LA,1998,LA,Louisiana,25.1,18 to 24 Years,0.2
1998LA,1998,LA,Louisiana,24.5,45 to 64 Years,0.2
1998LA,1998,LA,Louisiana,14.1,65 Years and Older,0.2
2010LA,2010,LA,Louisiana,20,18 to 24 Years,0.36
2001LA,2001,LA,Louisiana,29,25 to 44 Years,0.24
2001LA,2001,LA,Louisiana,28.5,18 to 24 Years,0.24
2001LA,2001,LA,Louisiana,11.8,65 Years and Older,0.24
2001LA,2001,LA,Louisiana,24.5,45 to 64 Years,0.24
2009LA,2009,LA,Louisiana,11,65 Years and Older,0.36
2009LA,2009,LA,Louisiana,18.9,18 to 24 Years,0.36
2009LA,2009,LA,Louisiana,23.5,45 to 64 Years,0.36
2009LA,2009,LA,Louisiana,26.4,25 to 44 Years,0.36
1999LA,1999,LA,Louisiana,9.6,65 Years and Older,0.2
1999LA,1999,LA,Louisiana,29.1,18 to 24 Years,0.2
2004LA,2004,LA,Louisiana,25.6,45 to 64 Years,0.36
2004LA,2004,LA,Louisiana,25.7,25 to 44 Years,0.36
2004LA,2004,LA,Louisiana,27.3,18 to 24 Years,0.36
2004LA,2004,LA,Louisiana,9.8,65 Years and Older,0.36
1999LA,1999,LA,Louisiana,28.5,25 to 44 Years,0.2
2010LA,2010,LA,Louisiana,28.6,25 to 44 Years,0.36
2010LA,2010,LA,Louisiana,22.4,45 to 64 Years,0.36
2005ME,2005,ME,Maine,6.7,65 Years and Older,2
2005ME,2005,ME,Maine,26.6,18 to 24 Years,2
2005ME,2005,ME,Maine,26.2,25 to 44 Years,2
2005ME,2005,ME,Maine,21.5,45 to 64 Years,2
2002ME,2002,ME,Maine,7.6,65 Years and Older,1
2002ME,2002,ME,Maine,31.2,25 to 44 Years,1
2002ME,2002,ME,Maine,20.6,45 to 64 Years,1
2007ME,2007,ME,Maine,18.8,45 to 64 Years,2
2007ME,2007,ME,Maine,25.4,25 to 44 Years,2
2007ME,2007,ME,Maine,28.7,18 to 24 Years,2
2007ME,2007,ME,Maine,8.3,65 Years and Older,2
2001ME,2001,ME,Maine,9.9,65 Years and Older,1
2001ME,2001,ME,Maine,32.5,18 to 24 Years,1
2001ME,2001,ME,Maine,29.1,25 to 44 Years,1
2001ME,2001,ME,Maine,22.7,45 to 64 Years,1
2009ME,2009,ME,Maine,7,65 Years and Older,2
2000ME,2000,ME,Maine,21,45 to 64 Years,0.74
2000ME,2000,ME,Maine,30.4,25 to 44 Years,0.74
2000ME,2000,ME,Maine,35.1,18 to 24 Years,0.74
2000ME,2000,ME,Maine,6.8,65 Years and Older,0.74
1997ME,1997,ME,Maine,9.4,65 Years and Older,0.74
1997ME,1997,ME,Maine,32.9,18 to 24 Years,0.74
1997ME,1997,ME,Maine,26.4,25 to 44 Years,0.74
1997ME,1997,ME,Maine,21.9,45 to 64 Years,0.74
2006ME,2006,ME,Maine,7.3,65 Years and Older,2
2006ME,2006,ME,Maine,28.3,18 to 24 Years,2
2006ME,2006,ME,Maine,28.1,25 to 44 Years,2
2006ME,2006,ME,Maine,18.9,45 to 64 Years,2
2010ME,2010,ME,Maine,7.6,65 Years and Older,2
2010ME,2010,ME,Maine,24.2,25 to 44 Years,2
1996ME,1996,ME,Maine,10.6,65 Years and Older,0.37
1996ME,1996,ME,Maine,25,45 to 64 Years,0.37
1996ME,1996,ME,Maine,29.6,25 to 44 Years,0.37
1996ME,1996,ME,Maine,34.9,18 to 24 Years,0.37
2009ME,2009,ME,Maine,17.1,45 to 64 Years,2
2009ME,2009,ME,Maine,18.4,18 to 24 Years,2
2008ME,2008,ME,Maine,7.5,65 Years and Older,2
2004ME,2004,ME,Maine,19.6,45 to 64 Years,1
2004ME,2004,ME,Maine,25.2,25 to 44 Years,1
1999ME,1999,ME,Maine,19.8,45 to 64 Years,0.74
1999ME,1999,ME,Maine,30.2,25 to 44 Years,0.74
1999ME,1999,ME,Maine,32.7,18 to 24 Years,0.74
1999ME,1999,ME,Maine,8.5,65 Years and Older,0.74
2004ME,2004,ME,Maine,34.9,18 to 24 Years,1
2004ME,2004,ME,Maine,6.9,65 Years and Older,1
2008ME,2008,ME,Maine,28.2,18 to 24 Years,2
2008ME,2008,ME,Maine,22.2,25 to 44 Years,2
2008ME,2008,ME,Maine,17.1,45 to 64 Years,2
2009ME,2009,ME,Maine,23.6,25 to 44 Years,2
2002ME,2002,ME,Maine,35.1,18 to 24 Years,1
2003ME,2003,ME,Maine,10.2,65 Years and Older,1
2003ME,2003,ME,Maine,24.3,45 to 64 Years,1
2003ME,2003,ME,Maine,28.2,25 to 44 Years,1
2003ME,2003,ME,Maine,30.2,18 to 24 Years,1
2010ME,2010,ME,Maine,23.1,18 to 24 Years,2
1998ME,1998,ME,Maine,37,18 to 24 Years,0.74
1998ME,1998,ME,Maine,26.7,25 to 44 Years,0.74
1998ME,1998,ME,Maine,16.8,45 to 64 Years,0.74
1998ME,1998,ME,Maine,12.6,65 Years and Older,0.74
2010ME,2010,ME,Maine,17.5,45 to 64 Years,2
2009MD,2009,MD,Maryland,7.7,65 Years and Older,2
2010MD,2010,MD,Maryland,8.3,65 Years and Older,2
2010MD,2010,MD,Maryland,20.1,18 to 24 Years,2
2010MD,2010,MD,Maryland,16.8,25 to 44 Years,2
2005MD,2005,MD,Maryland,20,45 to 64 Years,1
2005MD,2005,MD,Maryland,20.3,25 to 44 Years,1
2005MD,2005,MD,Maryland,24.4,18 to 24 Years,1
2005MD,2005,MD,Maryland,9.9,65 Years and Older,1
2010MD,2010,MD,Maryland,15.5,45 to 64 Years,2
2002MD,2002,MD,Maryland,12,65 Years and Older,1
2002MD,2002,MD,Maryland,19.7,45 to 64 Years,1
2002MD,2002,MD,Maryland,24.9,25 to 44 Years,1
2002MD,2002,MD,Maryland,31.2,18 to 24 Years,1
2004MD,2004,MD,Maryland,10,65 Years and Older,1
2004MD,2004,MD,Maryland,19.4,45 to 64 Years,1
1998MD,1998,MD,Maryland,25.6,18 to 24 Years,0.36
2004MD,2004,MD,Maryland,21.9,25 to 44 Years,1
2004MD,2004,MD,Maryland,24.7,18 to 24 Years,1
2001MD,2001,MD,Maryland,9.3,65 Years and Older,0.66
2001MD,2001,MD,Maryland,24.4,25 to 44 Years,0.66
2001MD,2001,MD,Maryland,22.6,45 to 64 Years,0.66
2001MD,2001,MD,Maryland,22.1,18 to 24 Years,0.66
1998MD,1998,MD,Maryland,25.1,25 to 44 Years,0.36
1998MD,1998,MD,Maryland,21.6,45 to 64 Years,0.36
1998MD,1998,MD,Maryland,14.1,65 Years and Older,0.36
2008MD,2008,MD,Maryland,8.3,65 Years and Older,2
2009MD,2009,MD,Maryland,15.9,18 to 24 Years,2
2009MD,2009,MD,Maryland,16.4,45 to 64 Years,2
2009MD,2009,MD,Maryland,17.3,25 to 44 Years,2
2008MD,2008,MD,Maryland,19,18 to 24 Years,2
2008MD,2008,MD,Maryland,16.1,45 to 64 Years,2
2008MD,2008,MD,Maryland,15.3,25 to 44 Years,2
2000MD,2000,MD,Maryland,7.4,65 Years and Older,0.66
2000MD,2000,MD,Maryland,27.8,18 to 24 Years,0.66
2000MD,2000,MD,Maryland,22.9,25 to 44 Years,0.66
2000MD,2000,MD,Maryland,21.1,45 to 64 Years,0.66
1996MD,1996,MD,Maryland,23.4,25 to 44 Years,0.36
1996MD,1996,MD,Maryland,23,18 to 24 Years,0.36
1996MD,1996,MD,Maryland,21.5,45 to 64 Years,0.36
1997MD,1997,MD,Maryland,23.6,18 to 24 Years,0.36
1997MD,1997,MD,Maryland,24.3,25 to 44 Years,0.36
1999MD,1999,MD,Maryland,9.2,65 Years and Older,0.66
2007MD,2007,MD,Maryland,16.5,45 to 64 Years,1
2007MD,2007,MD,Maryland,19.8,25 to 44 Years,1
2007MD,2007,MD,Maryland,24,18 to 24 Years,1
2007MD,2007,MD,Maryland,7.5,65 Years and Older,1
1999MD,1999,MD,Maryland,22.4,25 to 44 Years,0.66
1999MD,1999,MD,Maryland,27.1,18 to 24 Years,0.66
1999MD,1999,MD,Maryland,20.5,45 to 64 Years,0.66
1996MD,1996,MD,Maryland,11.9,65 Years and Older,0.36
1997MD,1997,MD,Maryland,11.1,65 Years and Older,0.36
1997MD,1997,MD,Maryland,18.7,45 to 64 Years,0.36
2006MD,2006,MD,Maryland,8.9,65 Years and Older,1
2006MD,2006,MD,Maryland,20.1,25 to 44 Years,1
2006MD,2006,MD,Maryland,19,45 to 64 Years,1
2006MD,2006,MD,Maryland,18.7,18 to 24 Years,1
2003MD,2003,MD,Maryland,9,65 Years and Older,1
2003MD,2003,MD,Maryland,23,25 to 44 Years,1
2003MD,2003,MD,Maryland,21.4,18 to 24 Years,1
2003MD,2003,MD,Maryland,21.1,45 to 64 Years,1
2010MA,2010,MA,Massachusetts,13.9,45 to 64 Years,2.51
2010MA,2010,MA,Massachusetts,7.6,65 Years and Older,2.51
2010MA,2010,MA,Massachusetts,18.8,18 to 24 Years,2.51
2010MA,2010,MA,Massachusetts,16.6,25 to 44 Years,2.51
1997MA,1997,MA,Massachusetts,8.4,65 Years and Older,0.76
1997MA,1997,MA,Massachusetts,23.4,25 to 44 Years,0.76
1997MA,1997,MA,Massachusetts,20.5,45 to 64 Years,0.76
1997MA,1997,MA,Massachusetts,28.3,18 to 24 Years,0.76
2000MA,2000,MA,Massachusetts,9.2,65 Years and Older,0.76
2005MA,2005,MA,Massachusetts,22.9,18 to 24 Years,1.51
2005MA,2005,MA,Massachusetts,20.8,25 to 44 Years,1.51
2005MA,2005,MA,Massachusetts,18,45 to 64 Years,1.51
2005MA,2005,MA,Massachusetts,8.9,65 Years and Older,1.51
2000MA,2000,MA,Massachusetts,27.3,18 to 24 Years,0.76
2000MA,2000,MA,Massachusetts,23.2,25 to 44 Years,0.76
2000MA,2000,MA,Massachusetts,19.2,45 to 64 Years,0.76
2001MA,2001,MA,Massachusetts,8.6,65 Years and Older,0.76
2001MA,2001,MA,Massachusetts,28,18 to 24 Years,0.76
2001MA,2001,MA,Massachusetts,23.2,25 to 44 Years,0.76
2001MA,2001,MA,Massachusetts,18.2,45 to 64 Years,0.76
1998MA,1998,MA,Massachusetts,8.1,65 Years and Older,0.76
1998MA,1998,MA,Massachusetts,27.4,18 to 24 Years,0.76
1998MA,1998,MA,Massachusetts,26.2,25 to 44 Years,0.76
1998MA,1998,MA,Massachusetts,18.8,45 to 64 Years,0.76
2008MA,2008,MA,Massachusetts,8.2,65 Years and Older,2.01
2008MA,2008,MA,Massachusetts,16.7,45 to 64 Years,2.01
2008MA,2008,MA,Massachusetts,17.8,25 to 44 Years,2.01
2008MA,2008,MA,Massachusetts,20.9,18 to 24 Years,2.01
1999MA,1999,MA,Massachusetts,10.4,65 Years and Older,0.76
